document_id,process_id,title,folder,agency,action_type,state,register_date,total_count
17725,,Confederated Tribes of the Colville Reservation Integrated Resource Management Plan 2015,EisDocuments-384499,Bureau of Indian Affairs,,WA,11/25/22,1
17726,,Surveying and Mapping Projects in U.S. Waters for Coastal and Marine Data Acquisition,EisDocuments-384798,National Oceanic and Atmospheric Administration,,PRO,11/25/22,5
17731,,Programmatic Environmental Impact Statement for the Marine Mammal Health and Stranding Response Program,EisDocuments-383720,National Marine Fisheries Service,,PRO,11/18/22,4
17744,,"Outer Continental Shelf (OCS) Alaska Region, Cook Inlet Planning Area, Oil and Gas Lease Sale 258",EisDocuments-381835,Bureau of Ocean Energy Management,,AK,10/28/22,9
17749,,Saltonstall-Kennedy Research and Development Program Programmatic Environmental Impact Statement,EisDocuments-381206,National Marine Fisheries Service,,Other,10/21/22,1
17753,,"Pearl Harbor Naval Shipyard and Intermediate Maintenance Facility Dry Dock and Waterfront Production Facility at Joint Base Pearl Harbor-Hickam, Oahu, Hawaii",EisDocuments-380516,United States Navy,,HI,10/14/22,1
17754,,I-526 Lowcountry Corridor West,EisDocuments-380470,Federal Highway Administration,,SC,10/14/22,3
17762,,"Proposed Mid-Barataria Sediment Diversion Project in Plaquemines Parish, Louisiana",EisDocuments-378512,U.S. Army Corps of Engineers,,LA,9/23/22,23
17768,,Navajo Nation Integrated Weed Management Plan,EisDocuments-377004,Bureau of Indian Affairs,,UT;AZ;NM,9/2/22,1
17772,,Little Cottonwood Canyon Environmental Impact Statement; SR-210: Wasatch Boulevard to Alta,EisDocuments-376481,Utah Department of Transportation,,UT,9/2/22,1
17783,,4FRI Rim Country Project,EisDocuments-374441,Forest Service,,AZ,8/12/22,1
17786,,Chicago Transit Authority Red Line Extension Project,EisDocuments-373359,Federal Transit Administration,,IL,8/12/22,6
17793,,SPOT Deepwater Port,EisDocuments-372281,U.S. Coast Guard,,TX,7/29/22,1
17794,,Santa Fe National Forest Land Management Plan,EisDocuments-372301,Forest Service,,NM,7/29/22,15
17801,,Cibola National Forest Land Management Plan Final Environmental Impact Statement,EisDocuments-371121,Forest Service,,NM,7/15/22,8
17804,,Carson National Forest Revision of Land and Resource Management Plan,EisDocuments-370661,Forest Service,,NM,7/8/22,7
17687,,I-495 & I-270 Managed Lanes Study Final Environmental Impact Statement and Final Section 4(f) Evaluation,EisDocuments-368681,Federal Highway Administration,,MD,6/17/22,2
17683,,Offshore Patrol Cutter Acquisition Program,EisDocuments-367721,U.S. Coast Guard,,PRO,6/10/22,1
17684,,California High-Speed Rail Authority San Francisco to San Jose Project Section Final Environmental Impact Report / Environmental Impact Statement,EisDocuments-366901,California High-Speed Rail Authority,,CA,6/10/22,2
17675,,"Thurston County Habitat Conservation Plan, Thurston County, Washington",EisDocuments-365641,Fish and Wildlife Service,,WA,5/13/22,1
17667,,Chesapeake Bay Crossing Study Tier 1 NEPA,EisDocuments-364522,Federal Highway Administration,,MD,4/29/22,1
17662,,Cliff Knox Project,EisDocuments-360981,Forest Service,,OR,4/22/22,4
17660,,Interstate 81 Viaduct Project,EisDocuments-362431,Federal Highway Administration,,NY,4/15/22,3
17641,,Waterways Commerce Cutter Acquisition,EisDocuments-344820,U.S. Coast Guard,,Other,3/18/22,2
17625,,Social and Ecological Resilience Across the Landscape (SERAL),EisDocuments-359521,Forest Service,,CA,2/25/22,3
17627,,California High-Speed Rail: San Jose to Merced Project Section Final Environmental Impact Report/Environmental Impact Statement,EisDocuments-357779,California High-Speed Rail Authority,,CA,2/25/22,6
17616,,"Land Management Plan, Custer Gallatin National Forest",EisDocuments-355703,Forest Service,,Multi,1/28/22,12
17615,,Amendment 23 to the Northeast Multispecies Fishery Management Plan,EisDocuments-354821,National Marine Fisheries Service,,Multi,1/21/22,1
17604,,Stella Landscape Restoration Project,EisDocuments-353141,Forest Service,,OR,12/17/21,2
17599,,Connecticut National Estuarine Research Reserve,EisDocuments-352309,National Oceanic and Atmospheric Administration,,CT,12/3/21,4
17583,,Helena - Lewis and Clark National Forest 2021 Land Management Plan,EisDocuments-346861,Forest Service,,MT,10/29/21,4
17570,,Port of Long Beach Deep Draft Navigation Feasibility Study,EisDocuments-345877,U.S. Army Corps of Engineers,,CA,10/8/21,2
17563,,I-69 Ohio River Crossing Project,EisDocuments-344401,Federal Highway Administration,,Multi,9/24/21,2
17555,,Mid-Swan Landscape Restoration and Wildland Urban Interface Project,EisDocuments-343246,Department of Agriculture,,MT,9/10/21,1
17548,,South Central Coast Louisiana Final Integrated Feasibility Study with Environmental Impact Statement,EisDocuments-342747,U.S. Army Corps of Engineers,,LA,9/3/21,3
17537,,South Fork Wind Farm and South Fork Export Cable Project,EisDocuments-340961,Bureau of Ocean Energy Management,,Multi,8/20/21,1
17536,,ADOPTION - Westside Subway Extension Transit Corridor Project Extension of the Existing Metro Purple Line and Metro Red Line Heavy Rail Subway Los Angeles County Metropolitan Transportation Authority Los Angeles County CA,EisDocuments-339403,U.S. Army Corps of Engineers,,CA,8/13/21,2
17527,,Uinta Basin Railway,EisDocuments-338681,Surface Transportation Board,,UT,8/6/21,2
17332,415,Enhancing Protections for Hawaiian Spinner Dolphins to Prevent Disturbance,EisDocuments-336601,National Oceanic and Atmospheric Administration,Conservation/Restoration/ Bio. Resource use,HI,7/30/21,1
17281,,"Tier 1 Environmental Impact Statement and Preliminary Section 4(f) Evaluation for Interstate 11 Corridor between Nogales and Wickenburg, Arizona",EisDocuments-336697,Federal Highway Administration,Transportation,AZ,7/16/21,8
17350,1534,Regulatory Impact Review and Final Regulatory Flexibility Analysis for Amending the Atlantic Large Whale Take Reduction Plan: Risk Reduction Rule,EisDocuments-334779,National Marine Fisheries Service,Conservation/Restoration/ Bio. Resource use,Atlantic Ocean,7/2/21,4
17313,155,Caribou-Targhee National Forest and Curlew National Grassland Integrated Weed Management Analysis,EisDocuments-332959,Forest Service,Conservation/Restoration/ Bio. Resource use,ID;WY;UT,6/25/21,1
17392,8000027,Stanislaus National Forest Over-Snow Vehicle (OSV) Use Designation,EisDocuments-329260,Forest Service,Recreation,CA,6/4/21,2
17258,56,"Bob Hope ""Hollywood-Burbank"" Airport Replacement Passenger Terminal",EisDocuments-328328,Federal Aviation Administration,Transportation,CA,5/21/21,2
17396,1294,Oregon Passenger Rail Tier 1 Final Environmental Impact Statement/Combined Record of Decision for the Oregon Portion of the Pacific Northwest Rail Corridor (Portland to Eugene),EisDocuments-326604,Federal Railroad Administration,Transportation,OR,4/30/21,1
17363,294,Crimson Solar Project Final Environmental Impact Statement and Proposed Land Use Amendment to the California Desert Conservation Area Plan,EisDocuments-321903,Bureau of Land Management,Energy generation/transmission,CA,2/12/21,1
17268,,WITHDRAWN - Crimson Solar Project Final Environmental Impact Statement and Proposed Land Use Amendment to the California Desert Conservation Area Plan,EisDocuments-320014,Bureau of Land Management,Energy generation/transmission,CA,1/22/21,1
17244,,WITHDRAWN - Resolution Copper Project and Land Exchange,EisDocuments-318885,Forest Service,Mineral Resource Extraction,AZ,1/15/21,4
17316,1319,Paradox Valley Unit of the Colorado River Basin Salinity Control Program,EisDocuments-316777,Bureau of Reclamation,Water Works,CO,12/11/20,1
17309,,Thacker Pass Lithium Mine Project,EisDocuments-315942,Bureau of Land Management,Mineral Resource Extraction,NV,12/4/20,2
